Kanal,Dosya Sayısı,Benzersiz Kelime,Toplam Kelime
AHaber,63,1253,2276
ATV,418,56265,322195
Fox,365,25342,130767
HaberTürk,353,28208,157393
Halk,63,39775,201640
Kanal7,102,6585,17388
KanalD,159,19688,74909
KRT,226,43925,294151
Show,358,46289,224386
SozcuTV,363,84495,733611
StarTV,363,19454,88640
TRT,104,7492,19806
TV100,268,93607,920953
